word	frequency
north	12007
english	12007
hotel	12003
block	11954
bottle	11934
born	11923
bathroom	11922
haven't	11897
plate	11892
wet	11861
rolled	11854
south	11843
mention	11810
computer	11800
peter	11790
replied	11766
expected	11762
special	11747
safe	11747
carefully	11742
immediately	11740
ears	11739
eight	11733
gotten	11726
bought	11714
tight	11709
base	11703
weren't	11696
bank	11692
teach	11684
bear	11664
spring	11649
future	11647
team	11626
public	11581
message	11566
position	11555
sick	11542
beginning	11528
creature	11516
dry	11514
coat	11489
pale	11472
normal	11467
expression	11455
loud	11447
daddy	11444
paint	11419
aren't	11405
consider	11395
we'd	11384
joe	11372
silver	11363
grass	11359
george	11353
ear	11337
personal	11314
calling	11307
broke	11297
test	11289
radio	11255
completely	11200
circle	11190
named	11189
approach	11165
law	11161
west	11138
spend	11124
plastic	11121
despite	11067
winter	11067
wheel	11051
shoot	11050
narrator	11047
ben	11033
boat	11025
grabbed	11018
stuck	11013
stomach	11004
notice	10975
gate	10953
cause	10951
beer	10949
leg	10948
pink	10942
dear	10938
surprise	10904
angry	10888
simple	10850
board	10823
henry	10761
path	10740
surface	10731
bus	10726
dozen	10710
beach	10708
accept	10625
whom	10611
admit	10579
president	10566
earlier	10560
cell	10560
flat	10531
choice	10518
sarah	10518
using	10485
dust	10462
fair	10458
lunch	10436
shock	10428
language	10427
writing	10398
pre-	10393
tea	10393
weight	10369
sharp	10364
asleep	10353
natural	10346
offered	10314
hanging	10311
stupid	10300
count	10294
threw	10267
doubt	10258
familiar	10233
brain	10218
experience	10203
brief	10162
village	10151
managed	10143
jacket	10143
glad	10123
ride	10118
sheet	10117
master	10116
michael	10103
carry	10093
garden	10089
dance	10081
wine	10081
lake	10073
paid	10052
attack	10041
save	10013
odd	10004
allowed	9999
attempt	9967
focus	9966
charlie	9957
suppose	9947
fresh	9905
list	9849
note	9843
private	9841
porch	9839
spread	9824
grandmother	9822
built	9821
max	9821
kiss	9808
add	9806
christmas	9804
wrote	9787
wild	9785
promise	9780
driving	9777
pulling	9751
engine	9748
slipped	9701
falling	9699
knife	9690
worried	9674
photograph	9666
nurse	9664
agreed	9661
local	9635
noise	9628
fat	9598
cried	9596
grace	9588
club	9585
believed	9571
jim	9562
visible	9556
situation	9547
tongue	9517
crossed	9514
funny	9507
sudden	9506
final	9491
rich	9468
forever	9468
counter	9461
shaking	9453
photo	9424
aside	9423
tone	9411
angel	9384
level	9374
aware	9358
gently	9355
wooden	9332
security	9314
worth	9297
lucky	9274
lose	9248
stars	9246
busy	9240
cap	9238
jesus	9236
entered	9235
jimmy	9235
cigarette	9219
french	9207
trust	9200
narrow	9196
terrible	9191
wear	9179
bridge	9179
roof	9176
imagined	9164
restaurant	9156
joke	9151
growing	9141
thirty	9132
carrying	9122
pool	9102
twice	9099
bob	9098
fun	9096
gift	9093
treat	9083
fit	9068
effort	9054
stage	9045
calm	9028
written	9019
square	9018
considered	8969
charge	8962
weapon	8961
dirt	8957
further	8932
marriage	8929
students	8919
wrapped	8907
win	8897
size	8892
missing	8847
grown	8824
cook	8820
matt	8803
serve	8798
loose	8795
sad	8770
east	8767
letter	8767
anna	8761
sex	8754
hate	8747
settled	8746
continues	8726
date	8714
support	8709
comfort	8707
angle	8701
leather	8700
forth	8698
apart	8676
court	8632
forced	8630
favorite	8623
shape	8621
ah	8616
teacher	8613
murder	8599
allow	8595
mike	8593
easily	8589
hoped	8572
soul	8563
indeed	8559
wound	8553
eventually	8549
lit	8548
boots	8544
million	8513
agent	8493
sand	8489
nature	8474
flowers	8473
alex	8465
hello	8453
patient	8451
robert	8443
protect	8442
subject	8435
bent	8416
sweat	8394
james	8363
farm	8361
wedding	8359
army	8345
difficult	8342
pants	8339
remain	8321
reveal	8319
star	8316
wake	8310
bones	8307
missed	8303
plant	8300
locked	8292
laid	8284
giant	8266
rachel	8196
dollars	8191
fifteen	8186
flesh	8176
ate	8166
command	8165
billy	8162
forgotten	8161
fallen	8155
apparently	8154
rising	8154
bare	8139
university	8136
realize	8131
stick	8131
passing	8124
anybody	8118
anger	8117
america	8115
ceiling	8100
storm	8079
presence	8065
scared	8058
couch	8056
writer	8050
share	8042
hoping	8027
grandfather	8011
queen	7977
enter	7975
hide	7957
rare	7955
agree	7919
handle	7919
nine	7912
waves	7903
breakfast	7863
newspaper	7855
judge	7853
slept	7853
plane	7846
orange	7842
effect	7841
respond	7823
fifty	7817
careful	7801
kate	7801
grow	7777
chief	7753
difference	7751
crew	7750
magazine	7726
lawyer	7713
planet	7707
exist	7706
dying	7693
beauty	7687
camp	7686
naked	7673
everywhere	7659
shall	7649
escape	7641
flight	7632
drunk	7623
directly	7580
pleasure	7580
raise	7567
struck	7564
weather	7557
hidden	7543
magic	7534
decision	7533
century	7533
character	7525
result	7520
luck	7515
clouds	7508
ocean	7507
van	7489
cross	7479
response	7473
wave	7471
helen	7461
nearby	7458
neighborhood	7451
nervous	7448
pause	7442
race	7430
television	7418
jumped	7413
anywhere	7412
till	7403
figured	7401
wonderful	7393
william	7371
palm	7364
annie	7361
grant	7351
type	7336
tie	7336
indian	7335
government	7327
alice	7326
adam	7321
laughter	7243
nick	7242
proper	7237
professor	7230
amy	7228
distant	7220
ancient	7217
author	7209
return	7207
physical	7199
meal	7193
object	7189
common	7177
soldiers	7172
whenever	7170
female	7166
burning	7165
dangerous	7151
sink	7151
feed	7147
prison	7137
taught	7133
gas	7119
project	7106
rough	7094
market	7087
enemy	7079
tip	7065
mad	7063
speed	7062
current	7051
national	7043
woke	7023
smooth	7020
twelve	7015
bet	7013
major	7003
gathered	6993
golden	6984
they'll	6983
shouldn't	6983
male	6981
honey	6978
energy	6973
tries	6967
strength	6925
relief	6916
film	6915
deck	6913
yesterday	6901
account	6898
dirty	6898
opposite	6894
library	6889
peace	6876
frame	6876
file	6871
instant	6853
student	6852
sunday	6847
taste	6843
source	6825
press	6822
complete	6822
studied	6821
program	6801
lucy	6798
hang	6782
welcome	6775
row	6773
traffic	6750
rise	6747
roll	6745
cousin	6741
contact	6733
vision	6711
upstairs	6708
obviously	6701
present	6697
fellow	6695
excuse	6684
spirit	6681
concern	6670
worst	6668
purpose	6662
entrance	6661
ease	6642
singing	6637
finish	6635
burned	6630
otherwise	6625
birthday	6625
various	6592
band	6587
jerry	6586
dawn	6584
original	6573
including	6570
shake	6567
stranger	6565
fence	6561
jane	6544
they've	6541
promised	6537
claim	6533
iron	6530
boss	6516
truly	6515
relationship	6494
mission	6482
walter	6480
jake	6474
begun	6473
suggested	6470
map	6464
bread	6458
sing	6453
milk	6450
proud	6443
recognized	6439
meat	6417
bowl	6412
painted	6411
crime	6402
partner	6402
drawn	6400
awake	6384
extra	6382
duty	6381
client	6377
jeans	6377
cost	6373
burn	6371
accident	6370
ray	6370
clock	6356
possibly	6353
honest	6338
practice	6332
screaming	6331
knowledge	6323
price	6316
richard	6303
burst	6300
smart	6288
ma'am	6285
belt	6275
pleased	6270
mess	6268
blow	6245
cabin	6239
obvious	6237
who'd	6230
failed	6226
plenty	6226
martin	6220
hungry	6213
rolling	6202
heaven	6199
wings	6187
cast	6181
bell	6178
fool	6177
continue	6176
joy	6169
pile	6159
mis-	6155
inter-	6152
oil	6146
medical	6136
grand	6131
buried	6131
handsome	6120
tied	6117
section	6111
desire	6086
repeated	6085
rush	6082
regular	6079
bay	6067
issue	6055
constant	6052
involved	6050
ordinary	6050
frozen	6034
shared	6033
motion	6032
andy	6019
season	6017
famous	6015
sell	6010
social	6005
