word	frequency
police	725
stick	724
trail	723
pass	722
beginning	722
despite	722
noise	722
fifty	722
crew	722
farm	720
class	719
weight	718
south	717
effect	717
worth	716
narrow	715
conversation	714
snow	714
slightly	714
sweet	713
grabbed	713
kit	712
support	710
experience	709
english	708
material	708
afternoon	708
lock	707
managed	707
government	707
crazy	706
vision	706
total	705
giving	705
sweat	705
normal	704
draw	704
final	704
eventually	704
species	703
james	701
hotel	700
broke	700
aware	700
pale	698
wheel	696
per	695
grow	694
wore	694
hey	693
flesh	693
admit	692
slid	692
cop	691
surprise	690
comfort	689
september	688
distant	687
tone	686
west	684
tip	681
stupid	679
summer	678
speed	678
loved	676
dinner	675
race	675
notice	674
cheek	674
boat	674
price	674
village	674
sam	674
nature	673
smoke	673
rush	673
electronic	673
honor	672
fresh	672
apart	672
dressed	669
camera	668
everybody	668
technology	667
reed	666
apartment	666
bank	666
arrived	665
gotten	664
angry	664
prison	664
silverberg	662
replied	662
direct	661
shop	661
tower	661
east	660
adventure	659
collection	659
forget	659
note	658
coat	658
source	658
king	658
paused	656
blind	655
completely	655
van	655
spend	654
july	654
expression	653
mass	652
bottle	652
published	652
blow	651
culture	651
climb	651
monster	650
teach	650
mystery	649
ball	647
scene	647
feed	646
dangerous	645
forever	645
falling	645
grown	644
camp	644
somebody	644
sick	641
lifted	641
data	640
movie	639
fashion	638
sighed	637
serve	636
tomorrow	630
faint	630
twice	629
sad	629
favorite	629
complete	627
shoot	625
stuck	623
wound	623
risk	621
cause	618
shouted	618
cup	618
lake	618
build	617
easily	617
nod	617
smooth	617
jake	617
ears	616
cell	616
include	615
tears	615
lit	615
knowledge	613
mad	613
switch	613
escape	613
named	613
remain	612
truck	612
mirror	611
shock	611
common	609
served	609
link	608
security	608
protect	606
available	605
present	605
device	605
paint	604
february	604
growing	603
officer	602
patch	600
plot	599
various	599
lying	599
forty	599
suspect	597
smart	596
situation	595
miles	594
climbed	594
january	593
orbit	593
artist	592
coop	591
physical	591
apparently	591
winter	591
subscription	589
giant	589
process	588
volume	587
stranger	587
loose	587
generation	586
born	586
dng	585
hero	584
university	583
wear	582
nine	581
lack	581
beer	581
difference	580
private	579
difficult	579
map	579
weird	578
bow	578
sudden	578
laid	578
ride	577
approach	577
fly	577
patient	577
ear	577
aside	576
glad	576
flight	576
date	575
agree	575
society	573
object	573
battle	571
fifteen	571
gaze	571
dear	571
immediately	571
sand	570
knees	569
smiling	568
subject	568
animals	568
collect	567
fellow	566
palm	566
standard	566
pattern	566
drew	566
weak	566
including	565
roof	565
hospital	564
circle	563
audience	562
match	562
male	561
stream	561
animal	561
settled	560
trade	559
